,Made Donation in March 2007
1,0
4,0
9,0
12,1
14,0
16,0
23,1
28,0
33,0
34,0
48,0
56,0
63,0
64,0
64,0
65,0
65,0
67,0
82,0
83,1
84,0
85,1
93,0
96,0
98,0
98,0
101,0
103,0
105,0
119,0
127,1
129,0
131,0
138,0
138,0
139,0
143,0
154,1
156,0
156,0
161,0
162,1
174,0
176,0
181,0
181,0
187,0
189,0
192,0
196,0
199,0
207,0
221,0
224,0
228,1
231,0
233,0
235,0
240,0
241,0
244,0
245,1
246,0
248,0
249,0
254,0
262,1
263,0
263,0
272,0
276,0
278,0
283,1
289,0
289,0
290,0
294,0
297,1
299,0
300,1
300,0
301,0
301,0
303,0
303,0
303,0
306,0
307,1
309,0
316,0
317,0
321,0
323,0
334,0
344,0
346,0
352,0
353,0
357,1
373,1
382,0
389,0
389,0
401,0
402,0
405,0
406,0
419,1
419,0
423,1
423,1
426,0
426,0
427,0
429,0
447,1
449,1
453,1
454,0
455,0
455,0
461,0
464,0
464,0
466,0
466,0
466,0
467,0
473,0
478,0
483,0
487,0
487,0
491,0
500,1
501,0
508,0
509,0
511,1
512,0
513,0
515,0
520,0
523,0
528,1
529,1
530,0
534,1
536,0
537,1
537,1
545,0
545,0
548,0
563,0
568,0
569,0
570,0
571,1
574,1
579,0
582,1
585,0
590,0
613,0
617,0
622,0
622,0
623,1
624,0
632,0
633,0
643,0
644,0
650,0
657,0
659,0
659,0
663,0
680,1
683,0
685,0
686,0
688,0
690,0
691,0
694,0
696,0
701,0
701,0
703,0
722,0
726,0
726,0
728,1
733,0
733,0
741,0
744,0
745,1
