,Made Donation in March 2007
659,0.02319086
276,0.02200387
263,0.04723755
303,0.02200544
83,0.02411672
500,0.09695508
530,0.04755313
244,0.02200323
249,0.019713
728,0.01971361
129,0.02207379
534,0.01971421
317,0.02319143
401,0.04723755
696,0.01971243
192,0.02200306
176,0.02200386
571,0.02200564
139,0.0197146
423,0.02318968
563,0.0231987
56,0.01971339
528,0.02200456
101,0.04723755
467,0.02319018
382,0.02319143
466,0.01978712
294,0.02200323
512,0.02003885
659,0.02319086
389,0.02319141
487,0.01971428
701,0.04756199
419,0.02319124
536,0.02319
240,0.02200433
508,0.0231902
515,0.02200323
283,0.01971672
650,0.04723755
65,0.04758211
228,0.02200371
741,0.01971432
297,0.02318966
464,0.01971184
63,0.04756199
231,0.02201874
28,0.01971195
248,0.02200323
357,0.02200356
300,0.02319087
726,0.02548255
680,0.02200331
520,0.02318849
254,0.01971203
582,0.01971405
143,0.02554546
98,0.04755996
1,0.02319015
221,0.02319096
352,0.04723755
64,0.01971206
138,0.01971446
745,0.02319128
64,0.01971206
688,0.01971545
623,0.01971407
289,0.02200606
174,0.01971408
690,0.04723755
105,0.01971258
427,0.02200335
48,0.02200388
14,0.04723755
657,0.01971215
301,0.01971425
455,0.01972019
579,0.02319143
722,0.01974926
98,0.04755996
491,0.02200388
303,0.02200544
466,0.01978712
65,0.04758211
300,0.02319087
9,0.02200358
622,0.02200306
323,0.01976408
289,0.02200606
568,0.02318949
290,0.04723755
156,0.02319063
464,0.01971184
426,0.02200365
306,0.02200542
4,0.02200557
12,0.01994995
187,0.01971434
406,0.01971355
96,0.04755313
509,0.04756199
733,0.019714
548,0.0197384
478,0.01971304
501,0.02200281
127,0.04401549
199,0.01971453
299,0.02319087
162,0.04723755
235,0.02200333
23,0.02193241
473,0.04723755
487,0.01971428
683,0.02200481
303,0.02200544
309,0.01971205
569,0.02200365
34,0.02190769
686,0.07713031
84,0.02318885
733,0.019714
537,0.0244991
181,0.01971227
453,0.07248187
67,0.02319096
161,0.02319121
307,0.02319087
703,0.02549297
181,0.01971227
246,0.02204767
316,0.01971269
278,0.02200306
346,0.02204617
545,0.04723755
419,0.02319124
694,0.04755313
622,0.02200306
663,0.01971411
262,0.09374898
461,0.02557511
373,0.10043228
233,0.04723755
466,0.01978712
207,0.02554546
263,0.04723755
16,0.02200365
513,0.02160363
449,0.01971314
429,0.01971223
701,0.04756199
632,0.01971199
529,0.05577459
245,0.02200501
344,0.01973922
353,0.02200335
241,0.01971445
633,0.02200335
624,0.04756199
726,0.02548255
189,0.02200306
138,0.01971446
402,0.02200323
511,0.02200266
590,0.04755477
334,0.02319093
447,0.01971236
119,0.01978712
389,0.02319141
644,0.04723755
423,0.02318968
131,0.02200365
405,0.0220039
82,0.04723755
643,0.09563563
156,0.02319063
617,0.01971199
574,0.02581668
272,0.02451555
613,0.01971278
545,0.04723755
685,0.02200323
570,0.01971271
537,0.0244991
691,0.02200335
85,0.02319114
483,0.02204767
455,0.01972019
93,0.02200306
744,0.04756199
33,0.02204767
321,0.09501292
523,0.01971201
426,0.02200365
196,0.01971176
301,0.01971425
103,0.02200335
224,0.02200356
454,0.02200423
585,0.0220036
154,0.02319127
