,Made Donation in March 2007
461,0.420996159
643,0.570541501
272,0.420996159
139,0.353106558
487,0.361725539
487,0.361725539
249,0.353106558
382,0.420996159
389,0.420996159
389,0.420996159
199,0.353106558
741,0.359042197
161,0.420996159
726,0.570541501
726,0.570541501
579,0.47038725
143,0.366762489
207,0.366762489
241,0.374069244
373,0.562902391
663,0.373091668
745,0.481833071
453,0.562902391
317,0.47038725
138,0.353106558
138,0.353106558
85,0.484659731
623,0.416480303
728,0.359042197
301,0.401868135
301,0.401868135
406,0.540018022
154,0.47038725
221,0.484659731
289,0.410874844
289,0.410874844
429,0.359683782
534,0.361725539
733,0.359042197
733,0.359042197
419,0.366762489
419,0.366762489
187,0.362280786
321,0.562902391
300,0.484659731
300,0.484659731
156,0.478427619
156,0.478427619
613,0.359683782
334,0.478427619
657,0.373091668
582,0.361725539
67,0.366762489
659,0.496321648
659,0.496321648
447,0.359683782
299,0.463274926
309,0.389993429
571,0.416480303
174,0.374069244
307,0.463274926
454,0.361725539
4,0.35692206
500,0.557790697
508,0.387164652
536,0.387164652
632,0.359683782
405,0.437656522
344,0.390940517
306,0.402183533
520,0.631759644
48,0.353106558
491,0.359683782
64,0.370757908
64,0.370757908
254,0.353106558
467,0.387164652
617,0.359683782
276,0.390940517
303,0.411821097
303,0.411821097
303,0.411821097
686,0.39434281
28,0.353106558
513,0.359683782
548,0.359683782
1,0.560234308
105,0.35531345
478,0.475889027
56,0.479928553
228,0.353106558
181,0.35531345
181,0.35531345
83,0.492775977
722,0.359042197
449,0.605865061
570,0.361725539
245,0.362280786
262,0.449763447
464,0.359683782
464,0.359683782
196,0.353106558
423,0.387164652
423,0.387164652
240,0.35531345
563,0.585054457
585,0.359683782
455,0.359683782
455,0.359683782
357,0.390940517
283,0.497419327
34,0.491585165
683,0.39434281
688,0.359042197
323,0.36905089
523,0.387164652
568,0.387164652
696,0.416675746
297,0.472112656
316,0.607884943
176,0.35531345
528,0.621020198
537,0.621020198
537,0.621020198
16,0.353106558
131,0.353106558
569,0.359683782
84,0.387164652
224,0.353106558
427,0.359683782
680,0.359042197
12,0.488549381
511,0.611213923
529,0.611213923
9,0.353106558
235,0.353106558
353,0.409198225
103,0.353106558
633,0.38078168
691,0.377647072
23,0.35692206
426,0.38078168
426,0.38078168
501,0.38078168
129,0.353106558
512,0.387164652
590,0.424357802
346,0.401954472
244,0.353106558
248,0.353106558
294,0.370459527
402,0.421799153
515,0.38078168
685,0.377647072
33,0.353106558
246,0.353106558
483,0.38078168
231,0.387164652
93,0.35531345
189,0.35531345
192,0.35531345
278,0.372712404
622,0.38078168
622,0.38078168
119,0.447335452
466,0.406854123
466,0.406854123
466,0.406854123
703,0.377647072
127,0.447335452
98,0.488549381
98,0.488549381
574,0.421427369
14,0.560234308
82,0.393145323
101,0.393145323
162,0.393145323
233,0.393145323
263,0.393145323
263,0.393145323
290,0.393145323
352,0.393145323
401,0.393145323
473,0.393145323
545,0.393145323
545,0.393145323
644,0.393145323
650,0.393145323
690,0.393145323
65,0.395787209
65,0.395787209
96,0.395787209
530,0.421427369
694,0.421427369
63,0.393145323
509,0.393145323
624,0.393145323
701,0.505351067
701,0.505351067
744,0.522716522
